llave_plan_estudios,llave_facultad,llave_estudiante,estatus_estudiante,creditos,fecha_titulacion
27,10,134,Créditos completos,290,2016-08-06
16,6,135,Créditos completos,275,2018-08-08
21,8,136,Titulado,290,2023-08-03
8,3,137,Cursando,330,
12,4,138,Créditos completos,330,2022-08-03
15,5,139,Cursando,133,
34,12,140,Créditos completos,200,2018-08-03
28,10,141,Titulado,319,2019-08-03
21,8,142,Créditos completos,290,2019-08-05
30,11,143,Créditos completos,319,2025-08-03
24,10,144,Titulado,290,2016-08-07
1,1,145,Baja,84,
30,11,146,Créditos completos,319,2023-08-03
12,4,147,Titulado,330,2017-08-04
32,14,148,Cursando,85,
30,11,149,Titulado,319,2017-08-07
35,13,150,Cursando,22,
25,10,151,Cursando,255,
28,10,152,Cursando,228,
15,5,153,Cursando,122,
19,6,154,Cursando,9,
28,10,155,Cursando,87,
23,9,156,Cursando,162,
1,1,157,Cursando,195,
35,13,158,Cursando,63,
33,12,159,Créditos completos,319,2020-08-03
8,3,160,Cursando,57,
22,8,161,Créditos completos,290,2024-09-21
23,9,162,Créditos completos,290,2017-08-03
30,11,163,Créditos completos,319,2024-08-03
3,1,164,Créditos completos,250,2023-08-04
5,2,165,Cursando,33,
25,10,166,Cursando,262,
10,3,167,Créditos completos,330,2018-08-08
26,10,168,Créditos completos,290,2015-08-06
16,6,169,Cursando,104,
12,4,170,Baja,266,
13,4,171,Titulado,275,2020-08-03
10,3,172,Titulado,330,2017-08-07
10,3,173,Titulado,330,2018-08-08
11,3,174,Cursando,290,
7,3,175,Cursando,108,
3,1,176,Cursando,12,
27,10,177,Titulado,290,2021-08-05
23,9,178,Cursando,130,
29,10,179,Titulado,319,2015-08-06
33,12,180,Créditos completos,319,2022-08-04
18,6,181,Créditos completos,275,2018-08-03
34,12,182,Cursando,15,
5,2,183,Créditos completos,250,2019-08-05
30,11,184,Titulado,319,2026-09-21
27,10,185,Cursando,64,
8,3,186,Créditos completos,330,2015-08-06
30,11,187,Titulado,319,2021-08-03
20,7,188,Titulado,290,2024-08-03
3,1,189,Titulado,250,2016-08-07
16,6,190,Cursando,119,
7,3,191,Créditos completos,330,2015-08-04
8,3,192,Cursando,328,
18,6,193,Cursando,154,
35,13,194,Titulado,200,2021-08-03
20,7,195,Cursando,210,
22,8,196,Créditos completos,290,2018-08-04
11,3,197,Cursando,142,
14,5,198,Créditos completos,275,2016-08-07
20,7,199,Cursando,219,
11,3,200,Cursando,75,
18,6,201,Cursando,71,
11,3,202,Créditos completos,330,2024-08-04
16,6,203,Titulado,275,2016-08-06
7,3,204,Cursando,168,
3,1,205,Créditos completos,250,2023-08-03
5,2,206,Titulado,250,2019-08-03
3,1,207,Cursando,81,
25,10,208,Créditos completos,290,2022-08-03
12,4,209,Cursando,185,
20,7,210,Créditos completos,290,2025-09-21
28,10,211,Créditos completos,319,2024-08-03
31,11,212,Baja,176,
7,3,213,Baja,81,
21,8,214,Créditos completos,290,2016-08-07
14,5,215,Cursando,203,
6,3,216,Cursando,238,
30,11,217,Titulado,319,2023-08-03
31,11,218,Cursando,227,
8,3,219,Créditos completos,330,2020-08-03
35,13,220,Baja,17,
21,8,221,Créditos completos,290,2020-08-03
13,4,222,Créditos completos,275,2025-09-21
19,6,223,Cursando,136,
25,10,224,Titulado,290,2018-08-08
18,6,225,Titulado,275,2024-08-03
5,2,226,Créditos completos,250,2017-08-03
18,6,227,Cursando,232,
2,1,228,Cursando,234,
2,1,229,Créditos completos,250,2017-08-06
15,5,230,Créditos completos,275,2021-08-08
2,1,231,Créditos completos,250,2015-08-04
7,3,232,Titulado,330,2015-08-04
6,3,233,Cursando,3,
20,7,234,Créditos completos,290,2023-08-03
27,10,235,Créditos completos,290,2024-08-04
24,10,236,Titulado,290,2020-08-08
27,10,237,Cursando,14,
19,6,238,Titulado,275,2020-08-03
5,2,239,Cursando,76,
29,10,240,Créditos completos,319,2024-08-03
25,10,241,Créditos completos,290,2018-08-08
7,3,242,Titulado,330,2020-08-03
16,6,243,Cursando,251,
29,10,244,Cursando,166,
32,14,245,Cursando,50,
33,12,246,Cursando,43,
32,14,247,Titulado,319,2024-08-03
17,6,248,Créditos completos,275,2024-09-21
27,10,249,Titulado,290,2019-08-08
23,9,250,Cursando,6,
34,12,251,Cursando,173,
31,11,252,Titulado,319,2019-08-04
15,5,253,Titulado,275,2024-09-21
15,5,254,Cursando,258,
3,1,255,Titulado,250,2016-08-07
23,9,256,Cursando,197,
25,10,257,Baja,168,
23,9,258,Titulado,290,2017-08-03
30,11,259,Titulado,319,2025-09-21
35,13,260,Titulado,200,2017-08-03
12,4,261,Créditos completos,330,2016-08-07
33,12,262,Cursando,66,
29,10,263,Titulado,319,2017-08-07
7,3,264,Titulado,330,2016-08-06
34,12,265,Créditos completos,200,2021-08-03
5,2,266,Titulado,250,2020-08-03
2,1,267,Cursando,63,
7,3,268,Baja,5,
22,8,269,Titulado,290,2023-08-03
29,10,270,Titulado,319,2022-08-04
23,9,271,Titulado,290,2016-08-07
32,14,272,Titulado,319,2024-08-04
33,12,273,Cursando,288,
12,4,274,Cursando,135,
9,3,275,Cursando,149,
16,6,276,Cursando,215,
8,3,277,Créditos completos,330,2022-08-04
15,5,278,Cursando,137,
9,3,279,Titulado,330,2021-08-04
20,7,280,Cursando,189,
6,3,281,Cursando,158,
2,1,282,Créditos completos,250,2022-08-04
9,3,283,Titulado,330,2023-08-03
18,6,284,Cursando,152,
17,6,285,Cursando,124,
11,3,286,Titulado,330,2018-08-08
20,7,287,Cursando,152,
5,2,288,Créditos completos,250,2020-08-05
21,8,289,Cursando,114,
27,10,290,Cursando,64,
35,13,291,Créditos completos,200,2016-08-07
9,3,292,Cursando,3,
1,1,293,Titulado,250,2021-08-04
11,3,294,Cursando,147,
28,10,295,Titulado,319,2018-08-03
27,10,296,Cursando,231,
4,2,297,Baja,82,
12,4,298,Titulado,330,2023-08-03
28,10,299,Baja,136,
5,2,300,Créditos completos,250,2025-09-21
2,1,301,Créditos completos,250,2017-08-03
25,10,302,Cursando,289,
33,12,303,Baja,180,
30,11,304,Créditos completos,319,2016-08-04
18,6,305,Titulado,275,2015-08-06
23,9,306,Titulado,290,2022-08-03
30,11,307,Cursando,247,
7,3,308,Titulado,330,2015-08-06
8,3,309,Cursando,253,
35,13,310,Créditos completos,200,2017-08-04
26,10,311,Créditos completos,290,2021-08-03
28,10,312,Titulado,319,2018-08-06
33,12,313,Titulado,319,2020-08-08
22,8,314,Cursando,120,
34,12,315,Titulado,200,2025-09-21
3,1,316,Cursando,33,
19,6,317,Titulado,275,2021-08-08
9,3,318,Créditos completos,330,2019-08-05
24,10,319,Cursando,117,
30,11,320,Créditos completos,319,2022-08-08
27,10,321,Titulado,290,2019-08-07
13,4,322,Titulado,275,2015-08-04
21,8,323,Cursando,173,
12,4,324,Cursando,78,
30,11,325,Titulado,319,2016-08-04
33,12,326,Titulado,319,2021-08-05
15,5,327,Titulado,275,2019-08-07
29,10,328,Cursando,216,
31,11,329,Cursando,51,
34,12,330,Cursando,9,
19,6,331,Créditos completos,275,2024-09-21
25,10,332,Titulado,290,2024-09-21
4,2,333,Créditos completos,250,2014-08-06
25,10,334,Cursando,193,
5,2,335,Titulado,250,2020-08-05
17,6,336,Créditos completos,275,2017-08-07
28,10,337,Créditos completos,319,2018-08-03
20,7,338,Cursando,23,
4,2,339,Titulado,250,2017-08-04
16,6,340,Créditos completos,275,2017-08-03
12,4,341,Cursando,98,
8,3,342,Baja,311,
22,8,343,Créditos completos,290,2016-08-07
32,14,344,Créditos completos,319,2016-08-06
7,3,345,Baja,185,
25,10,346,Créditos completos,290,2014-08-06
35,13,347,Cursando,153,
34,12,348,Créditos completos,200,2027-08-03
22,8,349,Titulado,290,2021-08-05
18,6,350,Cursando,160,
25,10,351,Cursando,15,
12,4,352,Créditos completos,330,2025-09-21
16,6,353,Cursando,21,
6,3,354,Cursando,100,
10,3,355,Cursando,300,
9,3,356,Titulado,330,2020-08-03
35,13,357,Cursando,43,
3,1,358,Créditos completos,250,2016-08-07
17,6,359,Cursando,35,
14,5,360,Titulado,275,2025-08-03
3,1,361,Cursando,204,
20,7,362,Cursando,241,
34,12,363,Titulado,200,2025-09-21
16,6,364,Titulado,275,2014-08-06
9,3,365,Titulado,330,2015-08-04
35,13,366,Créditos completos,200,2019-08-05
11,3,367,Cursando,30,
32,14,368,Créditos completos,319,2019-08-08
25,10,369,Titulado,290,2025-08-03
21,8,370,Cursando,166,
32,14,371,Créditos completos,319,2025-08-03
15,5,372,Cursando,196,
20,7,373,Cursando,25,
4,2,374,Baja,103,
6,3,375,Titulado,250,2017-08-03
32,14,376,Cursando,106,
28,10,377,Baja,136,
19,6,378,Cursando,268,
25,10,379,Cursando,162,
3,1,380,Baja,30,
29,10,381,Titulado,319,2017-08-06
1,1,382,Créditos completos,250,2023-08-03
22,8,383,Créditos completos,290,2018-08-08
12,4,384,Cursando,36,
23,9,385,Titulado,290,2018-08-03
31,11,386,Cursando,214,
15,5,387,Cursando,206,
32,14,388,Créditos completos,319,2021-08-03
32,14,389,Cursando,168,
15,5,390,Titulado,275,2021-08-04
21,8,391,Baja,204,
16,6,392,Cursando,244,
32,14,393,Créditos completos,319,2016-08-04
16,6,394,Créditos completos,275,2014-08-06
33,12,395,Créditos completos,319,2018-08-03
15,5,396,Cursando,222,
21,8,397,Titulado,290,2025-08-03
12,4,398,Cursando,125,
7,3,399,Titulado,330,2025-08-03
5,2,400,Titulado,250,2014-08-06
27,10,401,Créditos completos,290,2024-08-04
27,10,402,Titulado,290,2021-08-03
28,10,403,Titulado,319,2026-08-03
1,1,404,Cursando,80,
24,10,405,Créditos completos,290,2015-08-04
6,3,406,Titulado,250,2020-08-03
10,3,407,Titulado,330,2026-09-21
20,7,408,Titulado,290,2019-08-08
29,10,409,Cursando,6,
16,6,410,Titulado,275,2022-08-03
34,12,411,Cursando,16,
32,14,412,Créditos completos,319,2020-08-07
30,11,413,Titulado,319,2025-09-21
10,3,414,Cursando,75,
29,10,415,Titulado,319,2020-08-05
28,10,416,Baja,300,
25,10,417,Créditos completos,290,2019-08-05
13,4,418,Cursando,201,
2,1,419,Cursando,198,
20,7,420,Titulado,290,2021-08-04
17,6,421,Cursando,268,
25,10,422,Titulado,290,2018-08-08
33,12,423,Titulado,319,2023-08-05
18,6,424,Créditos completos,275,2017-08-03
5,2,425,Titulado,250,2020-08-08
1,1,426,Créditos completos,250,2019-08-03
30,11,427,Titulado,319,2018-08-04
35,13,428,Cursando,20,
2,1,429,Créditos completos,250,2019-08-08
2,1,430,Titulado,250,2022-08-03
11,3,431,Cursando,48,
3,1,432,Créditos completos,250,2016-08-07
33,12,433,Cursando,230,
8,3,434,Créditos completos,330,2022-08-03
9,3,435,Créditos completos,330,2023-08-04
14,5,436,Titulado,275,2018-08-03
28,10,437,Cursando,117,
23,9,438,Titulado,290,2016-08-07
27,10,439,Créditos completos,290,2019-08-08
27,10,440,Cursando,146,
8,3,441,Cursando,129,
22,8,442,Cursando,249,
30,11,443,Titulado,319,2024-08-03
24,10,444,Créditos completos,290,2018-08-07
33,12,445,Titulado,319,2020-08-08
30,11,446,Cursando,274,
34,12,447,Cursando,2,
20,7,448,Titulado,290,2021-08-04
22,8,449,Cursando,271,
16,6,450,Cursando,120,
7,3,451,Titulado,330,2024-09-21
34,12,452,Créditos completos,200,2019-08-03
35,13,453,Cursando,139,
25,10,454,Créditos completos,290,2017-08-04
17,6,455,Cursando,134,
32,14,456,Cursando,113,
19,6,457,Créditos completos,275,2022-08-03
19,6,458,Cursando,192,
25,10,459,Créditos completos,290,2020-08-03
3,1,460,Titulado,250,2018-08-08
21,8,461,Cursando,268,
12,4,462,Cursando,270,
34,12,463,Baja,143,
11,3,464,Créditos completos,330,2022-08-05
20,7,465,Titulado,290,2023-08-03
31,11,466,Titulado,319,2020-08-03
20,7,467,Titulado,290,2019-08-05
15,5,468,Créditos completos,275,2024-08-03
1,1,469,Titulado,250,2022-08-03
11,3,470,Créditos completos,330,2017-08-03
14,5,471,Cursando,212,
26,10,472,Cursando,96,
26,10,473,Titulado,290,2024-08-03
5,2,474,Cursando,69,
3,1,475,Créditos completos,250,2015-08-04
35,13,476,Cursando,86,
23,9,477,Cursando,30,
20,7,478,Titulado,290,2019-08-05
23,9,479,Créditos completos,290,2024-09-21
7,3,480,Créditos completos,330,2022-08-04
22,8,481,Créditos completos,290,2015-08-04
11,3,482,Créditos completos,330,2021-08-04
24,10,483,Cursando,247,
1,1,484,Baja,8,
24,10,485,Cursando,219,
17,6,486,Cursando,248,
3,1,487,Cursando,5,
23,9,488,Créditos completos,290,2020-08-03
9,3,489,Cursando,116,
21,8,490,Titulado,290,2015-08-04
13,4,491,Créditos completos,275,2024-08-03
7,3,492,Cursando,254,
13,4,493,Cursando,267,
18,6,494,Cursando,147,
7,3,495,Cursando,113,
20,7,496,Cursando,260,
34,12,497,Cursando,173,
6,3,498,Créditos completos,250,2022-08-03
31,11,499,Titulado,319,2016-08-04
32,14,500,Cursando,260,
20,7,501,Cursando,206,
35,13,502,Titulado,200,2021-08-05
12,4,503,Cursando,59,
17,6,504,Cursando,78,
27,10,505,Titulado,290,2020-08-05
6,3,506,Cursando,172,
29,10,507,Cursando,133,
15,5,508,Créditos completos,275,2020-08-03
9,3,509,Créditos completos,330,2021-08-08
19,6,510,Créditos completos,275,2024-09-21
15,5,511,Cursando,163,
8,3,512,Créditos completos,330,2022-08-03
20,7,513,Cursando,135,
15,5,514,Titulado,275,2023-08-03
2,1,515,Titulado,250,2025-08-03
14,5,516,Cursando,243,
21,8,517,Cursando,25,
22,8,518,Titulado,290,2026-08-03
26,10,519,Créditos completos,290,2017-08-06
35,13,520,Cursando,18,
20,7,521,Titulado,290,2014-08-06
8,3,522,Créditos completos,330,2014-08-06
20,7,523,Créditos completos,290,2017-08-03
21,8,524,Créditos completos,290,2024-09-21
25,10,525,Titulado,290,2022-08-03
31,11,526,Cursando,188,
9,3,527,Cursando,185,
10,3,528,Cursando,204,
11,3,529,Cursando,49,
2,1,530,Cursando,161,
5,2,531,Cursando,92,
14,5,532,Titulado,275,2015-08-06
3,1,533,Titulado,250,2021-08-04
10,3,534,Cursando,158,
18,6,535,Cursando,259,
4,2,536,Titulado,250,2024-09-21
35,13,537,Titulado,200,2018-08-03
10,3,538,Baja,117,
5,2,539,Cursando,213,
35,13,540,Cursando,34,
5,2,541,Cursando,8,
18,6,542,Cursando,153,
19,6,543,Cursando,202,
20,7,544,Cursando,74,
12,4,545,Titulado,330,2018-08-08
27,10,546,Titulado,290,2021-08-03
20,7,547,Baja,70,
4,2,548,Titulado,250,2015-08-04
1,1,549,Créditos completos,250,2022-08-03
14,5,550,Créditos completos,275,2020-08-03
5,2,551,Cursando,116,
2,1,552,Cursando,136,
13,4,553,Cursando,225,
16,6,554,Cursando,41,
24,10,555,Cursando,46,
28,10,556,Titulado,319,2019-08-08
2,1,557,Titulado,250,2021-08-05
12,4,558,Créditos completos,330,2014-08-06
6,3,559,Cursando,171,
35,13,560,Baja,64,
6,3,561,Cursando,26,
32,14,562,Créditos completos,319,2021-08-03
23,9,563,Cursando,177,
17,6,564,Créditos completos,275,2020-08-03
21,8,565,Cursando,18,
11,3,566,Titulado,330,2024-09-21
3,1,567,Créditos completos,250,2014-08-06
32,14,568,Créditos completos,319,2021-08-03
25,10,569,Cursando,266,
34,12,570,Créditos completos,200,2019-08-08
7,3,571,Cursando,222,
27,10,572,Cursando,49,
5,2,573,Cursando,247,
26,10,574,Titulado,290,2023-08-03
1,1,575,Titulado,250,2021-08-04
10,3,576,Cursando,75,
4,2,577,Cursando,13,
18,6,578,Titulado,275,2016-08-07
25,10,579,Cursando,234,
26,10,580,Créditos completos,290,2020-08-05
6,3,581,Titulado,250,2016-08-06
1,1,582,Baja,54,
19,6,583,Titulado,275,2018-08-03
22,8,584,Titulado,290,2021-08-04
25,10,585,Cursando,38,
22,8,586,Cursando,234,
23,9,587,Créditos completos,290,2016-08-07
22,8,588,Créditos completos,290,2015-08-04
22,8,589,Cursando,189,
8,3,590,Titulado,330,2014-08-06
9,3,591,Titulado,330,2016-08-07
7,3,592,Cursando,230,
26,10,593,Titulado,290,2026-09-21
26,10,594,Créditos completos,290,2016-08-04
18,6,595,Cursando,128,
1,1,596,Cursando,52,
29,10,597,Titulado,319,2015-08-06
13,4,598,Titulado,275,2016-08-07
6,3,599,Titulado,250,2024-09-21
17,6,600,Titulado,275,2023-08-03
18,6,601,Cursando,61,
4,2,602,Cursando,190,
14,5,603,Créditos completos,275,2024-08-03
23,9,604,Créditos completos,290,2023-08-03
16,6,605,Titulado,275,2018-08-08
15,5,606,Créditos completos,275,2016-08-06
12,4,607,Créditos completos,330,2025-09-21
8,3,608,Créditos completos,330,2018-08-04
4,2,609,Titulado,250,2016-08-07
20,7,610,Titulado,290,2015-08-04
19,6,611,Cursando,120,
20,7,612,Créditos completos,290,2025-08-03
28,10,613,Titulado,319,2020-08-03
16,6,614,Cursando,115,
29,10,615,Cursando,194,
22,8,616,Baja,90,
4,2,617,Créditos completos,250,2023-08-03
33,12,618,Créditos completos,319,2022-08-04
30,11,619,Cursando,273,
30,11,620,Cursando,40,
27,10,621,Titulado,290,2019-08-04
33,12,622,Titulado,319,2016-08-04
16,6,623,Titulado,275,2018-08-08
26,10,624,Cursando,98,
35,13,625,Titulado,200,2018-08-07
27,10,626,Créditos completos,290,2020-08-08
2,1,627,Cursando,247,
33,12,628,Cursando,44,
5,2,629,Cursando,144,
4,2,630,Baja,21,
12,4,631,Cursando,252,
12,4,632,Titulado,330,2016-08-07
11,3,633,Cursando,282,
28,10,634,Créditos completos,319,2024-08-03
14,5,635,Créditos completos,275,2021-08-04
23,9,636,Titulado,290,2022-08-03
18,6,637,Cursando,101,
18,6,638,Titulado,275,2022-08-03
18,6,639,Titulado,275,2015-08-04
5,2,640,Créditos completos,250,2024-09-21
2,1,641,Titulado,250,2018-08-03
25,10,642,Titulado,290,2020-08-05
7,3,643,Titulado,330,2015-08-04
19,6,644,Cursando,221,
16,6,645,Titulado,275,2021-08-04
3,1,646,Créditos completos,250,2017-08-03
10,3,647,Titulado,330,2015-08-04
16,6,648,Titulado,275,2015-08-04
2,1,649,Titulado,250,2021-08-04
8,3,650,Titulado,330,2024-09-21
17,6,651,Créditos completos,275,2021-08-03
20,7,652,Cursando,101,
22,8,653,Créditos completos,290,2015-08-06
19,6,654,Créditos completos,275,2020-08-05
20,7,655,Cursando,114,
28,10,656,Cursando,198,
8,3,657,Cursando,169,
17,6,658,Cursando,109,
7,3,659,Baja,109,
5,2,660,Cursando,40,
20,7,661,Cursando,221,
2,1,662,Créditos completos,250,2023-08-03
28,10,663,Titulado,319,2023-08-03
1,1,664,Titulado,250,2024-09-21
15,5,665,Cursando,42,
3,1,666,Créditos completos,250,2020-08-03
8,3,667,Cursando,302,
6,3,668,Titulado,250,2023-08-03
3,1,669,Créditos completos,250,2024-09-21
26,10,670,Cursando,165,
9,3,671,Titulado,330,2017-08-07
23,9,672,Titulado,290,2017-08-03
26,10,673,Cursando,143,
11,3,674,Cursando,304,
6,3,675,Cursando,67,
13,4,676,Cursando,170,
31,11,677,Cursando,218,
23,9,678,Cursando,130,
17,6,679,Baja,31,
16,6,680,Titulado,275,2020-08-03
6,3,681,Cursando,71,
5,2,682,Créditos completos,250,2019-08-05
16,6,683,Cursando,211,
11,3,684,Créditos completos,330,2021-08-04
35,13,685,Cursando,62,
24,10,686,Titulado,290,2022-08-03
35,13,687,Cursando,72,
8,3,688,Baja,241,
18,6,689,Créditos completos,275,2019-08-05
9,3,690,Créditos completos,330,2014-08-06
1,1,691,Cursando,224,
28,10,692,Créditos completos,319,2017-08-04
21,8,693,Titulado,290,2015-08-04
30,11,694,Baja,182,
17,6,695,Créditos completos,275,2015-08-04
4,2,696,Cursando,36,
9,3,697,Créditos completos,330,2016-08-07
32,14,698,Titulado,319,2024-08-03
12,4,699,Cursando,232,
22,8,700,Titulado,290,2014-08-06
8,3,701,Titulado,330,2020-08-03
26,10,702,Titulado,290,2021-08-08
6,3,703,Créditos completos,250,2014-08-06
16,6,704,Titulado,275,2023-08-03
20,7,705,Titulado,290,2014-08-06
2,1,706,Créditos completos,250,2018-08-04
21,8,707,Cursando,120,
22,8,708,Créditos completos,290,2019-08-08
5,2,709,Créditos completos,250,2020-08-05
25,10,710,Titulado,290,2023-08-03
11,3,711,Cursando,323,
25,10,712,Baja,186,
11,3,713,Créditos completos,330,2022-08-03
14,5,714,Créditos completos,275,2024-08-03
20,7,715,Titulado,290,2017-08-04
31,11,716,Cursando,117,
21,8,717,Titulado,290,2022-08-05
4,2,718,Créditos completos,250,2021-08-04
4,2,719,Baja,226,
33,12,720,Titulado,319,2019-08-08
5,2,721,Créditos completos,250,2017-08-04
5,2,722,Cursando,123,
12,4,723,Titulado,330,2019-08-08
30,11,724,Créditos completos,319,2017-08-04
26,10,725,Créditos completos,290,2019-08-04
20,7,726,Créditos completos,290,2019-08-08
12,4,727,Cursando,166,
8,3,728,Titulado,330,2019-08-08
30,11,729,Créditos completos,319,2025-08-03
13,4,730,Créditos completos,275,2017-08-03
6,3,731,Cursando,82,
3,1,732,Cursando,127,
15,5,733,Cursando,22,
22,8,734,Cursando,137,
25,10,735,Créditos completos,290,2019-08-08
14,5,736,Cursando,105,
21,8,737,Titulado,290,2014-08-06
32,14,738,Créditos completos,319,2019-08-03
23,9,739,Créditos completos,290,2016-08-07
2,1,740,Cursando,199,
20,7,741,Titulado,290,2022-08-04
16,6,742,Créditos completos,275,2018-08-08
16,6,743,Cursando,93,
24,10,744,Créditos completos,290,2023-08-03
33,12,745,Cursando,291,
18,6,746,Baja,197,
11,3,747,Titulado,330,2017-08-04
12,4,748,Cursando,173,
27,10,749,Créditos completos,290,2025-09-21
14,5,750,Cursando,88,
9,3,751,Créditos completos,330,2019-08-03
6,3,752,Baja,138,
14,5,753,Cursando,106,
19,6,754,Cursando,214,
11,3,755,Cursando,119,
5,2,756,Créditos completos,250,2020-08-03
5,2,757,Titulado,250,2017-08-03
16,6,758,Créditos completos,275,2016-08-07
13,4,759,Créditos completos,275,2016-08-06
34,12,760,Créditos completos,200,2024-08-03
8,3,761,Cursando,241,
29,10,762,Cursando,21,
24,10,763,Cursando,63,
25,10,764,Baja,101,
18,6,765,Cursando,153,
6,3,766,Créditos completos,250,2021-08-04
11,3,767,Créditos completos,330,2021-08-08
28,10,768,Titulado,319,2022-08-04
15,5,769,Baja,210,
16,6,770,Créditos completos,275,2024-08-03
12,4,771,Titulado,330,2023-08-03
17,6,772,Cursando,215,
17,6,773,Créditos completos,275,2020-08-03
31,11,774,Créditos completos,319,2020-08-05
20,7,775,Cursando,191,
31,11,776,Cursando,305,
9,3,777,Cursando,137,
7,3,778,Baja,232,
30,11,779,Cursando,248,
13,4,780,Créditos completos,275,2022-08-04
17,6,781,Baja,257,
32,14,782,Créditos completos,319,2021-08-03
5,2,783,Créditos completos,250,2018-08-08
